Model,Modality,Acceleration Rate,SSIM
AFT-Net (KI),T2w on 1.5T,8x,0.9158019277394086
AFT-Net (KI),T2w on 1.5T,8x,0.9409855196971229
AFT-Net (KI),T2w on 1.5T,8x,0.943895548494494
AFT-Net (KI),T2w on 1.5T,8x,0.945322247155458
AFT-Net (KI),T2w on 1.5T,8x,0.9492859731448712
AFT-Net (KI),T2w on 1.5T,8x,0.9338811400880754
AFT-Net (KI),T2w on 1.5T,8x,0.933740984514716
AFT-Net (KI),T2w on 1.5T,8x,0.9301445461531896
AFT-Net (KI),T2w on 1.5T,8x,0.9528029798749048
AFT-Net (KI),T2w on 1.5T,8x,0.9320498420647632
AFT-Net (KI),T2w on 1.5T,8x,0.9337625185508188
AFT-Net (KI),T2w on 1.5T,8x,0.927915597829842
AFT-Net (KI),T2w on 1.5T,8x,0.9527380016592548
AFT-Net (KI),T2w on 1.5T,8x,0.9303282172631052
AFT-Net (KI),T2w on 1.5T,8x,0.9301951026707634
AFT-Net (KI),T2w on 1.5T,8x,0.9509807895226208
AFT-Net (KI),T2w on 1.5T,8x,0.9261650595601818
AFT-Net (KI),T2w on 1.5T,8x,0.9117047456939932
AFT-Net (KI),T2w on 1.5T,8x,0.911693665659284
AFT-Net (KI),T2w on 1.5T,8x,0.9090844177339208
AFT-Net (KI),T2w on 1.5T,8x,0.9462142295450008
AFT-Net (KI),T2w on 1.5T,8x,0.9123202288838744
AFT-Net (KI),T2w on 1.5T,8x,0.939525312000152
AFT-Net (KI),T2w on 1.5T,8x,0.9370692432064588
AFT-Net (KI),T2w on 1.5T,8x,0.9471641244411
AFT-Net (KI),T2w on 1.5T,8x,0.8984473824964072
AFT-Net (KI),T2w on 1.5T,8x,0.9368736082258384
AFT-Net (KI),T2w on 1.5T,8x,0.9210515442185118
AFT-Net (KI),T2w on 1.5T,8x,0.9297215513382914
AFT-Net (KI),T2w on 1.5T,8x,0.9275909635866304
AFT-Net (KI),T2w on 1.5T,8x,0.9435375847853512
AFT-Net (KI),T2w on 1.5T,8x,0.9328904441179364
AFT-Net (KI),T2w on 1.5T,8x,0.9438242918662112
AFT-Net (KI),T2w on 1.5T,8x,0.927474369700306
AFT-Net (KI),T2w on 1.5T,8x,0.9058033460133248
AFT-Net (KI),T2w on 1.5T,8x,0.9157027716061376
AFT-Net (KI),T2w on 1.5T,8x,0.921287180017128
AFT-Net (KI),T2w on 1.5T,8x,0.928489849880078
AFT-Net (KI),T2w on 1.5T,8x,0.9324322903759574
AFT-Net (KI),T2w on 1.5T,8x,0.9150782150422112
AFT-Net (KI),T2w on 1.5T,8x,0.9495911002713782
AFT-Net (KI),T2w on 1.5T,8x,0.9019978202529448
AFT-Net (KI),T2w on 1.5T,8x,0.9442315389849796
AFT-Net (KI),T2w on 1.5T,8x,0.91726207823846
AFT-Net (KI),T2w on 1.5T,8x,0.9165779825486348
AFT-Net (KI),T2w on 1.5T,8x,0.951751227140966
AFT-Net (KI),T2w on 1.5T,8x,0.9375672475703264
AFT-Net (KI),T2w on 1.5T,8x,0.91150291802649
AFT-Net (KI),T2w on 1.5T,8x,0.9083029543968042
AFT-Net (KI),T2w on 1.5T,8x,0.9306353577559132
AFT-Net (KI),T2w on 1.5T,8x,0.9328661343915274
AFT-Net (KI),T2w on 1.5T,8x,0.9207076205704526
AFT-Net (KI),T2w on 1.5T,8x,0.8634385868484181
AFT-Net (KI),T2w on 1.5T,8x,0.9409100168103114
AFT-Net (KI),T2w on 1.5T,8x,0.953214915060544
AFT-Net (KI),T2w on 1.5T,8x,0.92857287038845
AFT-Net (KI),T2w on 1.5T,8x,0.8787432601423782
AFT-Net (KI),T2w on 1.5T,8x,0.9143431575589508
AFT-Net (KI),T2w on 1.5T,16x,0.8554368869289672
AFT-Net (KI),T2w on 1.5T,16x,0.84560769294841
AFT-Net (KI),T2w on 1.5T,16x,0.867470630461339
AFT-Net (KI),T2w on 1.5T,16x,0.9071173227837542
AFT-Net (KI),T2w on 1.5T,16x,0.8238202121832833
AFT-Net (KI),T2w on 1.5T,16x,0.9257935147604072
AFT-Net (KI),T2w on 1.5T,16x,0.8607872822279449
AFT-Net (KI),T2w on 1.5T,16x,0.7949040204413459
AFT-Net (KI),T2w on 1.5T,16x,0.93139448402203
AFT-Net (KI),T2w on 1.5T,16x,0.8488241803948142
AFT-Net (KI),T2w on 1.5T,16x,0.8242597913111187
AFT-Net (KI),T2w on 1.5T,16x,0.8723345773395754
AFT-Net (KI),T2w on 1.5T,16x,0.9019617008012198
AFT-Net (KI),T2w on 1.5T,16x,0.9189142621596242
AFT-Net (KI),T2w on 1.5T,16x,0.9094925514273932
AFT-Net (KI),T2w on 1.5T,16x,0.8754549426565436
AFT-Net (KI),T2w on 1.5T,16x,0.891711563003999
AFT-Net (KI),T2w on 1.5T,16x,0.8571115364778562
AFT-Net (KI),T2w on 1.5T,16x,0.9195715365841332
AFT-Net (KI),T2w on 1.5T,16x,0.8666518858904754
AFT-Net (KI),T2w on 1.5T,16x,0.8475510876116304
AFT-Net (KI),T2w on 1.5T,16x,0.8637612045062635
AFT-Net (KI),T2w on 1.5T,16x,0.915144533509051
AFT-Net (KI),T2w on 1.5T,16x,0.863752841720904
AFT-Net (KI),T2w on 1.5T,16x,0.852193487309541
AFT-Net (KI),T2w on 1.5T,16x,0.9325149098652128
AFT-Net (KI),T2w on 1.5T,16x,0.8717589953665561
AFT-Net (KI),T2w on 1.5T,16x,0.8790373114849633
AFT-Net (KI),T2w on 1.5T,16x,0.8318140062803275
AFT-Net (KI),T2w on 1.5T,16x,0.8340626019526645
AFT-Net (KI),T2w on 1.5T,16x,0.9293988545723938
AFT-Net (KI),T2w on 1.5T,16x,0.8687340294372241
AFT-Net (KI),T2w on 1.5T,16x,0.91366441600335
AFT-Net (KI),T2w on 1.5T,16x,0.9016357153878672
AFT-Net (KI),T2w on 1.5T,16x,0.9291886483688724
AFT-Net (KI),T2w on 1.5T,16x,0.8321016187227819
AFT-Net (KI),T2w on 1.5T,16x,0.91444479513697
AFT-Net (KI),T2w on 1.5T,16x,0.89697732984919
AFT-Net (KI),T2w on 1.5T,16x,0.9044335608969962
AFT-Net (KI),T2w on 1.5T,16x,0.9042944605946516
AFT-Net (KI),T2w on 1.5T,16x,0.9172798872031344
AFT-Net (KI),T2w on 1.5T,16x,0.9108108972033628
AFT-Net (KI),T2w on 1.5T,16x,0.9254008608683888
AFT-Net (KI),T2w on 1.5T,16x,0.9106649488889272
AFT-Net (KI),T2w on 1.5T,16x,0.8336880077497774
AFT-Net (KI),T2w on 1.5T,16x,0.8327712139648697
AFT-Net (KI),T2w on 1.5T,16x,0.9008522551562858
AFT-Net (KI),T2w on 1.5T,16x,0.9140134512117436
AFT-Net (KI),T2w on 1.5T,16x,0.9073615797892554
AFT-Net (KI),T2w on 1.5T,16x,0.8940584121336388
AFT-Net (KI),T2w on 1.5T,16x,0.9319910740820988
AFT-Net (KI),T2w on 1.5T,16x,0.833906316784902
AFT-Net (KI),T2w on 1.5T,16x,0.9192212905810764
AFT-Net (KI),T2w on 1.5T,16x,0.8572101733951115
AFT-Net (KI),T2w on 1.5T,16x,0.8576467583506918
AFT-Net (KI),T2w on 1.5T,16x,0.934451321072448
AFT-Net (KI),T2w on 1.5T,16x,0.9225729058987028
AFT-Net (KI),T2w on 1.5T,16x,0.8514523904596263
AFT-Net (KI),T2w on 1.5T,16x,0.819976231272103
AFT-Net (KI),T2w on 1.5T,16x,0.8612119556169662
AFT-Net (KI),T2w on 1.5T,16x,0.9112920148006992
AFT-Net (KI),T2w on 1.5T,16x,0.8479121861148513
AFT-Net (KI),T2w on 1.5T,16x,0.79246847633561
AFT-Net (KI),T2w on 1.5T,16x,0.9205956734448
AFT-Net (KI),T2w on 1.5T,16x,0.9376111664235596
AFT-Net (KI),T2w on 1.5T,16x,0.900672031966411
AFT-Net (KI),T2w on 1.5T,16x,0.7860865106241212
AFT-Net (KI),T2w on 1.5T,16x,0.8609296361862491
AFT-Net (KI),T2w on 3T,2x,0.9660183632361496
AFT-Net (KI),T2w on 3T,2x,0.9586665061120474
AFT-Net (KI),T2w on 3T,2x,0.9736921674796796
AFT-Net (KI),T2w on 3T,2x,0.9778812384609974
AFT-Net (KI),T2w on 3T,2x,0.9454530379255742
AFT-Net (KI),T2w on 3T,2x,0.9666132902052176
AFT-Net (KI),T2w on 3T,2x,0.9543326329750804
AFT-Net (KI),T2w on 3T,2x,0.9530338434909004
AFT-Net (KI),T2w on 3T,2x,0.9333574721073904
AFT-Net (KI),T2w on 3T,2x,0.9636569008016362
AFT-Net (KI),T2w on 3T,2x,0.9554975888644232
AFT-Net (KI),T2w on 3T,2x,0.9700582333874276
AFT-Net (KI),T2w on 3T,2x,0.9702670882449964
AFT-Net (KI),T2w on 3T,2x,0.974648103430612
AFT-Net (KI),T2w on 3T,2x,0.9737642435429824
AFT-Net (KI),T2w on 3T,2x,0.9828424648260264
AFT-Net (KI),T2w on 3T,2x,0.9690821153309812
AFT-Net (KI),T2w on 3T,2x,0.96253940573095
AFT-Net (KI),T2w on 3T,4x,0.93606361658526
AFT-Net (KI),T2w on 3T,4x,0.9439990621938784
AFT-Net (KI),T2w on 3T,4x,0.949376910240568
AFT-Net (KI),T2w on 3T,4x,0.959315767436782
AFT-Net (KI),T2w on 3T,4x,0.9350360961444272
AFT-Net (KI),T2w on 3T,4x,0.955254378233616
AFT-Net (KI),T2w on 3T,4x,0.9455698555180996
AFT-Net (KI),T2w on 3T,4x,0.9460910254692512
AFT-Net (KI),T2w on 3T,4x,0.9195496024374198
AFT-Net (KI),T2w on 3T,4x,0.9539015019530424
AFT-Net (KI),T2w on 3T,4x,0.948134943341231
AFT-Net (KI),T2w on 3T,4x,0.959277131706228
AFT-Net (KI),T2w on 3T,4x,0.948948971320546
AFT-Net (KI),T2w on 3T,4x,0.9655763156812976
AFT-Net (KI),T2w on 3T,4x,0.9532106738229142
AFT-Net (KI),T2w on 3T,4x,0.9637846779062746
AFT-Net (KI),T2w on 3T,4x,0.9607569911179432
AFT-Net (KI),T2w on 3T,4x,0.952680155544574
AFT-Net (KI),T2w on 3T,8x,0.8835874831576914
AFT-Net (KI),T2w on 3T,8x,0.9157757766277236
AFT-Net (KI),T2w on 3T,8x,0.9042274563498156
AFT-Net (KI),T2w on 3T,8x,0.9280608500340852
AFT-Net (KI),T2w on 3T,8x,0.9151987735226312
AFT-Net (KI),T2w on 3T,8x,0.93678912954762
AFT-Net (KI),T2w on 3T,8x,0.9318047220623952
AFT-Net (KI),T2w on 3T,8x,0.93374058213666
AFT-Net (KI),T2w on 3T,8x,0.8997710713673133
AFT-Net (KI),T2w on 3T,8x,0.9379269582812706
AFT-Net (KI),T2w on 3T,8x,0.9337255157267448
AFT-Net (KI),T2w on 3T,8x,0.9416956617472084
AFT-Net (KI),T2w on 3T,8x,0.9043049307716124
AFT-Net (KI),T2w on 3T,8x,0.9548576041391178
AFT-Net (KI),T2w on 3T,8x,0.9119180394824214
AFT-Net (KI),T2w on 3T,8x,0.9220375070423436
AFT-Net (KI),T2w on 3T,8x,0.9490399023396848
AFT-Net (KI),T2w on 3T,8x,0.9382420337363128
AFT-Net (KI),T2w on 3T,16x,0.790739048260399
AFT-Net (KI),T2w on 3T,16x,0.8656400908907689
AFT-Net (KI),T2w on 3T,16x,0.8244372361425499
AFT-Net (KI),T2w on 3T,16x,0.8473812242067289
AFT-Net (KI),T2w on 3T,16x,0.8767247448754709
AFT-Net (KI),T2w on 3T,16x,0.9071311163371392
AFT-Net (KI),T2w on 3T,16x,0.9028983703820558
AFT-Net (KI),T2w on 3T,16x,0.912658099982526
AFT-Net (KI),T2w on 3T,16x,0.8718114651202005
AFT-Net (KI),T2w on 3T,16x,0.9083239471701412
AFT-Net (KI),T2w on 3T,16x,0.912832062374302
AFT-Net (KI),T2w on 3T,16x,0.91496702049365
AFT-Net (KI),T2w on 3T,16x,0.8365554616285047
AFT-Net (KI),T2w on 3T,16x,0.9388973656439588
AFT-Net (KI),T2w on 3T,16x,0.8428467640577414
AFT-Net (KI),T2w on 3T,16x,0.8636834665738693
AFT-Net (KI),T2w on 3T,16x,0.9299193409358526
AFT-Net (KI),T2w on 3T,16x,0.9173283743397916
AFT-Net (KI),T1w on 3T,2x,0.98470259221331
AFT-Net (KI),T1w on 3T,2x,0.972723431831812
AFT-Net (KI),T1w on 3T,2x,0.958886373709028
AFT-Net (KI),T1w on 3T,2x,0.9781302109641326
AFT-Net (KI),T1w on 3T,2x,0.979093814596372
AFT-Net (KI),T1w on 3T,2x,0.9811438314897316
AFT-Net (KI),T1w on 3T,2x,0.9726154622140832
AFT-Net (KI),T1w on 3T,2x,0.9714874898717244
AFT-Net (KI),T1w on 3T,2x,0.945584515091352
AFT-Net (KI),T1w on 3T,2x,0.9433132501446092
AFT-Net (KI),T1w on 3T,2x,0.9827395328666996
AFT-Net (KI),T1w on 3T,2x,0.9698138923900158
AFT-Net (KI),T1w on 3T,2x,0.9663202168827534
AFT-Net (KI),T1w on 3T,2x,0.9771893381005052
AFT-Net (KI),T1w on 3T,4x,0.9702215201469282
AFT-Net (KI),T1w on 3T,4x,0.9542287772423113
AFT-Net (KI),T1w on 3T,4x,0.9525449932271828
AFT-Net (KI),T1w on 3T,4x,0.9571548595053296
AFT-Net (KI),T1w on 3T,4x,0.9597495886571624
AFT-Net (KI),T1w on 3T,4x,0.9613542343533736
AFT-Net (KI),T1w on 3T,4x,0.9427732968146058
AFT-Net (KI),T1w on 3T,4x,0.9531374557997658
AFT-Net (KI),T1w on 3T,4x,0.9372324578206598
AFT-Net (KI),T1w on 3T,4x,0.9324864369405864
AFT-Net (KI),T1w on 3T,4x,0.9626316109927324
AFT-Net (KI),T1w on 3T,4x,0.9585893716138756
AFT-Net (KI),T1w on 3T,4x,0.9587691108319312
AFT-Net (KI),T1w on 3T,4x,0.9556846032087936
AFT-Net (KI),T1w on 3T,8x,0.933557551246238
AFT-Net (KI),T1w on 3T,8x,0.9213062600186306
AFT-Net (KI),T1w on 3T,8x,0.9437146795649152
AFT-Net (KI),T1w on 3T,8x,0.9037125976916032
AFT-Net (KI),T1w on 3T,8x,0.9228453007513248
AFT-Net (KI),T1w on 3T,8x,0.9252547518634872
AFT-Net (KI),T1w on 3T,8x,0.8927816486790257
AFT-Net (KI),T1w on 3T,8x,0.9198490423672394
AFT-Net (KI),T1w on 3T,8x,0.9236732995410571
AFT-Net (KI),T1w on 3T,8x,0.9138029243079075
AFT-Net (KI),T1w on 3T,8x,0.9154639856145445
AFT-Net (KI),T1w on 3T,8x,0.9395803753919296
AFT-Net (KI),T1w on 3T,8x,0.9443206481111596
AFT-Net (KI),T1w on 3T,8x,0.9136625974733252
AFT-Net (KI),T1w on 3T,16x,0.8566747615115131
AFT-Net (KI),T1w on 3T,16x,0.821920916968915
AFT-Net (KI),T1w on 3T,16x,0.9287003279965854
AFT-Net (KI),T1w on 3T,16x,0.8246904666818321
AFT-Net (KI),T1w on 3T,16x,0.8612044634676055
AFT-Net (KI),T1w on 3T,16x,0.8619850949566518
AFT-Net (KI),T1w on 3T,16x,0.8305919940087871
AFT-Net (KI),T1w on 3T,16x,0.8596243027217538
AFT-Net (KI),T1w on 3T,16x,0.9048120306684768
AFT-Net (KI),T1w on 3T,16x,0.8837896947741184
AFT-Net (KI),T1w on 3T,16x,0.8408939498276385
AFT-Net (KI),T1w on 3T,16x,0.9146237699059352
AFT-Net (KI),T1w on 3T,16x,0.9146782609422606
AFT-Net (KI),T1w on 3T,16x,0.8540533978585994
