Model,Acceleration Rate,SSIM
Zero Filling,4x,0.891421789
Zero Filling,4x,0.890162794
Zero Filling,4x,0.8900044
Zero Filling,4x,0.907656732
Zero Filling,4x,0.909759034
Zero Filling,4x,0.908684884
Zero Filling,4x,0.901601382
Zero Filling,4x,0.902417458
Zero Filling,4x,0.904233648
Zero Filling,4x,0.902387107
Zero Filling,4x,0.898394846
Zero Filling,4x,0.905836297
Zero Filling,4x,0.908107997
Zero Filling,4x,0.910492206
Zero Filling,4x,0.907818364
Zero Filling,4x,0.877758577
Zero Filling,4x,0.87700366
Zero Filling,4x,0.876847038
Zero Filling,4x,0.876066837
Zero Filling,8x,0.837709565
Zero Filling,8x,0.835054806
Zero Filling,8x,0.834412577
Zero Filling,8x,0.833243315
Zero Filling,8x,0.809125438
Zero Filling,8x,0.799910976
Zero Filling,8x,0.79533411
Zero Filling,8x,0.79397634
Zero Filling,8x,0.813626911
Zero Filling,8x,0.817109823
Zero Filling,8x,0.817662522
Zero Filling,8x,0.814231529
Zero Filling,8x,0.855543379
Zero Filling,8x,0.856864062
Zero Filling,8x,0.855712204
Zero Filling,8x,0.854766819
Zero Filling,8x,0.88410287
Zero Filling,8x,0.88281766
Zero Filling,8x,0.882759368
Zero Filling,8x,0.875828397
Zero Filling,8x,0.830336527
Zero Filling,8x,0.885379737
Zero Filling,8x,0.884560202
Zero Filling,8x,0.890657485
Zero Filling,8x,0.858072711
Zero Filling,8x,0.884963568
Zero Filling,8x,0.886159335
Zero Filling,8x,0.823783639
Zero Filling,8x,0.809139794
Zero Filling,8x,0.810587926
Zero Filling,8x,0.810341359
Zero Filling,8x,0.807844352
Zero Filling,8x,0.836039325
Zero Filling,8x,0.838047241
Zero Filling,8x,0.838590549
Zero Filling,8x,0.838146307
Zero Filling,8x,0.803288182
Zero Filling,8x,0.779754898
Zero Filling,8x,0.78083121
Zero Filling,8x,0.775496111
Zero Filling,8x,0.769347826
Zero Filling,8x,0.782107798
Zero Filling,8x,0.7780761
Zero Filling,8x,0.768789666
Zero Filling,8x,0.812767927
Zero Filling,8x,0.812596974
Zero Filling,8x,0.8119342
Zero Filling,8x,0.812993654
Zero Filling,8x,0.729874443
